Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2023-05-11,428.27233490981524,93.98423439755811,428.8964268547342,96.1984354680105,419.6738086781967,93.83607274714659,420.9021911621094,95.67163848876953,1573300,823416
2023-05-12,422.3880700369308,96.34659656424861,425.97408917096857,96.65938226887383,420.40684132365897,94.00069626247931,423.60650634765625,94.77442932128906,1224200,689472
2023-05-15,409.1237693638337,94.82381240131919,423.25982673442434,95.07074847314598,406.61751600530624,93.68790647091595,422.20977783203125,93.84429931640625,2088000,617891
2023-05-16,418.1878484234279,93.60558687860201,426.04341308775355,94.2147033725208,415.14665506532964,92.88124106830699,417.4548034667969,93.43273162841797,1574100,743217
2023-05-17,419.3468768186535,93.83606249801754,428.78743043067055,95.32591004220663,416.2066160055721,93.58912644096962,427.80670166015625,95.23536682128906,1280900,762848
2023-05-18,429.49076631483615,94.98021745409713,444.49856806062985,96.02558780959943,428.2624141629228,94.11594109162264,443.45843505859375,95.87742614746094,1770900,965859
2023-05-19,445.3009539068638,96.56883488674089,446.0439146729978,96.91454538751594,440.64508457778123,95.350609414549,441.8437194824219,96.24781799316406,1234400,607478
2023-05-22,445.39010527916435,96.11612300073175,451.1257708546821,96.71700080243234,441.2988933905012,95.7539500791588,449.8478698730469,96.35482788085938,1948500,409973
2023-05-23,451.3040576537684,96.16550474159133,456.42554697909213,96.95570016184725,445.57830810546875,95.35883939966705,445.57830810546875,95.48230743408203,2658600,849272
2023-05-24,417.0486653072482,95.2436042668708,421.7342823351265,95.58109108403954,409.48035672753633,94.28878478369248,412.016357421875,94.32994079589844,6664400,488855
2023-05-25,414.57208955871107,93.66993973112315,417.0486253386317,94.02469380236458,403.714965164261,92.68819931458503,409.2227783203125,93.1419448852539,4119800,802229
2023-05-26,409.8766549472857,93.21619416165731,423.9829954006655,94.38769026011785,409.23273135345914,93.17494456432324,414.5028076171875,94.05769348144531,3287100,672235
2023-05-30,420.38699296270534,94.25569152690699,423.35883591437266,94.47018943299466,401.8030586976443,93.12544502604123,402.278564453125,93.3399429321289,3400700,531229
2023-05-31,397.0283024780569,92.86970556824613,416.3056477434671,93.03470397183871,396.46364508762883,89.92447652994493,415.1862487792969,90.41947174072266,6180600,1158816
2023-06-01,413.670660105736,90.7989476744636,422.0017307657272,91.86318713859492,412.35315626678937,90.18845371829526,418.15814208984375,91.42594146728516,1910500,903256
2023-06-02,419.27751634801933,92.34995501251291,428.54965199186336,95.30343379239642,419.27751634801933,92.34995501251291,426.4495544433594,94.8661880493164,1702000,1160013
2023-06-05,426.40998838214136,95.2621894047477,440.6054796924241,95.41893788725604,425.9344825782176,93.38945000060595,438.6836853027344,94.3051986694336,2201400,620166
2023-06-06,442.42819556965355,94.15670238910191,453.82026109443154,96.16969048427609,441.883369745712,94.14845246876995,444.2806396484375,96.00469207763672,1839600,926119
2023-06-07,443.9141100650684,96.08718358442741,448.6789628029604,97.2009227400333,417.4845257254659,95.34468327985026,418.3958740234375,95.73242950439453,2429900,1170666
2023-06-08,417.42510792896536,95.90567784636987,423.48766332484183,96.30168152487776,415.36461301188075,94.64344013630307,419.3865051269531,96.25218200683594,1612300,926239
2023-06-09,418.84167357540645,96.34293628016579,427.9949409908717,96.34293628016579,416.3057031206355,94.88269288559643,427.4996337890625,95.88919067382812,1696600,692824
2023-06-12,431.2144367687734,96.02118422705817,442.7452029101992,96.06243382541395,430.5011931906321,95.07243593070216,441.9328918457031,95.73242950439453,1937200,868304
2023-06-13,447.41095102268594,96.21917724609375,447.74775626332706,96.82967126969834,437.8515288928614,95.61692560755424,443.34942626953125,96.21917724609375,1324400,1081250
2023-06-14,443.7655577146053,96.21091702443968,449.1148697145136,96.59041326874602,436.32603349869066,94.74242402316924,442.031982421875,95.1136703491211,1709100,954488
2023-06-15,438.0397817758193,94.9569421666335,454.85050926945405,95.96343995486521,436.9005812677158,94.9569421666335,452.0272521972656,95.88919067382812,1658300,1635222
2023-06-16,456.9407016371474,96.38418328097988,457.3567729943505,96.86267863475682,445.9647071891081,95.96343736645188,450.75927734375,96.16968536376953,2619600,1524978
2023-06-20,450.04602633761795,95.51793164985575,456.6732391023019,95.90567787463105,446.88596397826603,94.18144466233237,450.85833740234375,95.28693389892578,1395000,1255773
2023-06-21,450.43232750710484,94.98169711170613,451.2446082451771,95.2291947286731,445.07310059721783,94.28870378419865,446.30145263671875,94.85794830322266,1106500,951735
2023-06-22,444.53820112535436,94.80017859624158,447.51996007038093,96.31817119001697,441.46729051424694,94.123685254462,446.60858154296875,96.01292419433594,1034800,1019126
2023-06-23,439.69408129734813,95.50968440831818,452.799920341568,95.50968440831818,438.5845980360462,94.29694618193008,448.44122314453125,94.46194458007812,1489900,925520
2023-06-26,447.4208793832889,94.4042001240014,458.07989942596305,95.31169136171899,447.4208793832889,94.36295052228697,449.04547119140625,94.94044494628906,1418200,533742
2023-06-27,451.6111968229502,95.38593546254994,456.48500256339304,96.35943354429493,449.04547901729956,94.77544139034403,454.7217102050781,96.02118682861328,1253800,660864
