Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
2022-01-20,164.35533383479182,200.9550542831126,53.6950904421725,90.54352242489746,164.6731535584798,203.56440842251786,54.01367323905034,90.74204902405594,159.59719653023313,200.65063759663218,52.812156016122394,87.53325190724578,159.79696655273438,201.09422302246094,52.86677169799805,87.79180145263672,1671400,2370800,17726500,2146800
2022-01-21,160.77766563191386,200.92025801949285,52.857675537157206,87.93262296716735,163.82868258719967,200.92025801949285,53.10344093523466,89.08686704216898,159.78790470810387,196.48435091031817,51.52872498959106,87.53325198103596,162.17605590820312,196.49305725097656,51.59244155883789,87.60943603515625,1223800,2261500,25914000,3220000
2022-01-24,162.993270955828,191.09171664405932,51.1191182517432,86.561390422745,165.5721026695626,195.47543943936157,51.88372058878543,89.3061794861927,158.68007854891889,190.6481311768584,49.944906899804636,85.8065172468401,160.67776489257812,195.0492401123047,51.79269790649414,89.18152618408203,2304600,2354700,34180100,3718400
2022-01-25,160.4583788968325,191.91800703560816,51.05539554031532,87.33703301451752,160.8057016995011,195.09272945626878,51.60153851297539,89.18844510300673,156.95763338672424,189.7174525966492,50.12694970895933,87.09003012549726,159.52606201171875,192.90956115722656,51.07360076904297,88.00650024414062,1394800,1645200,25156400,2950400
2022-01-26,152.24124941899424,193.92720583629182,51.07360740928076,88.53744804336483,155.38552341851712,194.4838675228459,51.383089393302804,90.5758400331801,150.02015716117407,189.57828226263123,49.93580650806632,87.0230803410803,150.55943298339844,191.46571350097656,50.36362075805664,88.02496337890625,2690700,2865000,28632700,3700000
2022-01-27,150.5868752514007,192.53554632750675,50.52745986095195,88.8975829270627,152.6068934931359,198.702316812743,51.45590579404819,89.55781430237103,148.91419387086736,191.3352391658049,49.5170955980431,86.9215173318587,151.24497985839844,194.17074584960938,49.71734619140625,87.19622802734375,1751200,1935000,25967400,2406800
2022-01-28,150.81536719259856,194.79700345066425,49.6081205307128,86.95613902960473,152.64343224947854,196.3974042465046,50.66399965449314,89.223076320568,150.5685745047515,190.56984892626554,48.652368444304436,86.06968033277079,152.58859252929688,196.35391235351562,50.61848831176758,89.17921447753906,1105100,1840000,30976600,2047600
2022-01-31,151.96704673577983,195.94507791428606,50.45463609170015,88.84447445083794,153.83168094803938,200.14613921684466,50.84603982248704,90.5158247163971,150.6325670231718,194.51863166994428,49.944900112182,88.64594784505117,153.42950439453125,199.61557006835938,50.673091888427734,90.38423919677734,1464700,1754300,29925300,2883600
2022-02-01,154.07845709921546,199.46775654352575,50.4728415134148,90.16724959134834,154.61773289850714,202.598973966634,50.518352848549625,90.79515873202112,151.3089259389106,198.41531106020213,49.826571526540256,88.29506883855731,154.2338409423828,201.80747985839844,50.400020599365234,89.4123764038086,1533000,1541400,22438500,2679600
2022-02-02,150.95244710765948,201.95531527067527,50.27259082637701,89.63629292398517,153.01816928275164,208.7831173261007,51.26475327660181,90.58738896313778,150.91589194790933,201.5639148029655,50.21797513719575,89.57858071728954,152.63427734375,208.2003631591797,51.12821578979492,90.36577606201172,1314700,2092800,23316700,1740000
