Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2023-08-31,125.42055584765998,121.19000244140625,103.52999877929688,135.6593669687502,123.05999755859375,105.05999755859375,125.28403896121443,120.58000183105469,100.9000015258789,135.05479431152344,122.36000061035156,100.9800033569336,19302000,4034200,3707200
2023-09-01,133.15329298594733,122.69000244140625,102.31999969482422,133.19229143067014,122.69000244140625,102.69999694824219,125.38154722306813,118.0999984741211,100.51000213623047,127.02951049804688,118.73999786376953,101.9000015258789,10691900,3083900,2524500
2023-09-05,127.0295232876452,118.73999786376953,101.94000244140625,130.62773650395638,119.37000274658203,102.97000122070312,123.99688429171051,116.11000061035156,99.93000030517578,124.05538940429688,116.2699966430664,100.33000183105469,8064000,2411200,3173800
2023-09-06,123.23627350630633,116.36000061035156,105.44999694824219,125.73259813346924,118.25,108.27999877929688,122.52443654561195,115.93000030517578,104.22000122070312,123.31428527832031,117.37000274658203,106.87999725341797,5544000,2144300,6645000
2023-09-07,123.48005788884558,117.58000183105469,106.75,124.56244707462885,117.66000366210938,107.58999633789062,120.2426436631513,115.18000030517578,100.76000213623047,120.64244842529297,116.55999755859375,104.91000366210938,5284200,2323300,5294800
2023-09-08,120.54493223171637,116.29000091552734,104.91999816894531,124.11388518374306,116.4800033569336,107.13999938964844,120.54493223171637,114.83000183105469,104.18000030517578,124.03587341308594,116.0199966430664,104.3499984741211,3830300,1896700,3575700
2023-09-11,123.85062129545422,116.52999877929688,104.3499984741211,125.5083381650248,117.4000015258789,108.08999633789062,122.3294213229572,115.70999908447266,103.94999694824219,123.48982238769531,115.94999694824219,107.29000091552734,3408600,2438500,3496300
2023-09-12,123.47030628862848,115.83999633789062,106.55999755859375,123.91886280908598,116.55999755859375,107.33999633789062,120.7887130574761,113.9800033569336,103.4000015258789,120.80821228027344,114.12000274658203,104.86000061035156,2764700,1950700,4416300
2023-09-13,121.2665370560455,114.5999984741211,104.98999786376953,121.48106573127734,114.66999816894531,106.95999908447266,116.15688449893932,112.16000366210938,104.77999877929688,117.0149917602539,112.73999786376953,105.22000122070312,6286700,2047900,2997600
2023-09-14,116.76144528020764,113.02999877929688,106.2300033569336,117.60005323075022,113.43000030517578,106.5999984741211,114.21636887396292,112.19000244140625,100.93000030517578,114.85995483398438,113.33999633789062,101.55000305175781,7703500,2201300,6447800
