Date,Open,High,Low,Close,Volume
2023-03-10,81.41843326348152,81.5221035657865,78.96805933425392,79.7691421508789,1588900
2023-03-13,79.16595736446986,80.07071030008048,78.26120442885923,78.77954864501953,1505000
2023-03-14,80.2592099925102,80.8717979961319,78.29890824797538,79.36387634277344,3166500
2023-03-15,78.1481280507604,78.1481280507604,76.83812017942151,77.95964050292969,1807500
2023-03-16,77.51667539035823,79.36388040916026,77.20566451113525,78.89265441894531,1753900
2023-03-17,78.63818966891351,78.63818966891351,77.23393114601332,77.99732208251953,4735400
2023-03-20,78.55336571000234,79.67488579022891,78.47796783108984,79.05286407470703,2536800
2023-03-21,79.96705538568914,80.07072568691049,78.65704760517053,79.78799438476562,1805300
2023-03-22,79.53352052225905,80.36287566055088,78.0161722877483,78.25178527832031,2178000
2023-03-23,78.26130857414681,79.65084322334188,78.16612909941712,79.47953033447266,1964300
2023-03-24,79.27014488012934,80.3646434581909,78.28033791238862,80.20284271240234,1378300
2023-03-27,81.52576339542499,85.65629689359703,80.89761373284163,85.29463958740234,2534000
2023-03-28,85.4564328190787,85.4659522185008,83.90510472728995,84.78070068359375,1630800
2023-03-29,85.74195393935682,85.9989269089854,84.88539673706055,85.09477996826172,1555500
2023-03-30,86.04652260853655,86.64611414391732,85.71340893881656,86.15120697021484,1238400
2023-03-31,86.69368453130163,87.7120496772163,86.63658265813785,87.52169799804688,1447600
2023-04-03,87.47412067134998,88.01661028184971,86.17975822153053,86.22734069824219,1744900
2023-04-04,86.04652727818282,86.51287627545386,85.35175622164898,85.73245239257812,1423000
2023-04-05,85.21850015456471,86.00844331343012,85.04718726783696,85.96085357666016,1448200
2023-04-06,85.76099977799304,87.20763645411789,85.51354618797522,87.03632354736328,1470900
2023-04-10,86.49381967121761,87.87384209915439,86.26540492014234,87.62638854980469,1137700
2023-04-11,87.94998093578965,88.59715484014433,87.55976545221523,88.3497085571289,1057800
2023-04-12,89.24433393808333,89.37758373661651,87.91190856448843,88.08322143554688,1051400
2023-04-13,88.47344397486701,90.77664507779416,88.43537363500356,90.42450714111328,1299300
