         158466868 function calls (144925742 primitive calls) in 151.288 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
582679/541254    0.870    0.000   51.418    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:807(_set_axis)
5646194/3964240    7.228    0.000   50.936    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:1220(_get_value)
 1009/557    0.182    0.000   49.493    0.089 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1788(_execute_context)
  506/383    0.069    0.000   48.592    0.127 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1711(exec_driver_sql)
  503/371    0.038    0.000   47.817    0.129 <string>:1(has_table)
  503/388    0.055    0.000   47.597    0.123 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2574(close)
 1078/223    0.249    0.000   42.293    0.190 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1720(callHandlers)
632922/548278    1.595    0.000   42.166    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
 1078/223    0.355    0.000   40.195    0.180 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1010(handle)
   101/11    0.031    0.000   40.087    3.644 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:328(process_ticker_batch)
  503/371    0.025    0.000   39.406    0.106 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\reflection.py:79(cache)
  503/371    0.044    0.000   30.663    0.083 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\dialects\postgresql\base.py:3369(has_table)
  577/494    0.064    0.000   29.157    0.059 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
 1009/557    0.229    0.000   28.584    0.051 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1847(_exec_single_context)
5652549/4691376    5.293    0.000   28.173    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\indexing.py:2765(check_dict_or_set_indexers)
  503/388    0.061    0.000   28.051    0.072 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2723(_do_close)
   468/16    0.156    0.000   27.741    1.734 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:164(write_ticker_data_to_db)
  941/939    0.014    0.000   27.645    0.029 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:7282(sort_index)
582684/560624    0.400    0.000   26.998    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:236(set_axis)
582684/562556    0.451    0.000   26.307    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\base.py:86(_validate_set_axis)
580699/509323    1.980    0.000   24.736    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:1863(from_array)
  941/939    0.015    0.000   24.504    0.026 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:5290(sort_index)
  503/388    0.093    0.000   24.300    0.063 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2707(_close_impl)
  504/503   23.027    0.046   23.027    0.046 {built-in method gc.collect}
     1078    0.234    0.000   21.884    0.020 {method 'write' of '_io.TextIOWrapper' objects}
 1924/665    0.710    0.000   21.791    0.033 {method 'execute' of 'psycopg2.extensions.cursor' objects}
  468/228    0.106    0.000   21.618    0.095 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\psycopg2\extras.py:1219(execute_values)
  503/388    0.098    0.000   20.587    0.053 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2701(_connection_rollback_impl)
   102/88    0.035    0.000   18.787    0.213 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\db_manager.py:107(__exit__)
  503/371    0.032    0.000   18.726    0.050 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1282(scalar)
  468/451    0.036    0.000   18.559    0.041 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:12590(values)
2828240/2670385    1.309    0.000   17.636    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\missing.py:101(isna)
594825/549948    0.930    0.000   17.464    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:784(name)
  571/458    0.113    0.000   16.665    0.036 {method 'commit' of 'psycopg2.extensions.connection' objects}
7873576/5215461    2.311    0.000   15.780    0.000 {built-in method builtins.len}
  503/371    0.044    0.000   14.889    0.040 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\elements.py:521(_execute_on_scalar)
  941/939    0.011    0.000   13.597    0.014 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\sorting.py:59(get_indexer_indexer)
  503/371    0.054    0.000   12.934    0.035 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\sql\elements.py:506(_execute_on_connection)
2374035/2315303    0.828    0.000   12.653    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\indexes\base.py:909(__len__)
5684584/5467821    2.417    0.000   12.562    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:831(_values)
  503/388    0.103    0.000   12.177    0.031 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1111(_rollback_impl)
590360/491582    3.958    0.000   11.637    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
  503/371    0.075    0.000   10.930    0.029 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1588(_execute_clauseelement)
45184973/43565591    8.400    0.000   10.601    0.000 {built-in method builtins.isinstance}
  503/499    0.008    0.000   10.457    0.021 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\result.py:1312(fetchall)
  503/499    0.173    0.000   10.140    0.020 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\result.py:543(_allrows)
  503/499    0.003    0.000    9.436    0.019 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\cursor.py:2129(_fetchall_impl)
  577/494    0.075    0.000    7.361    0.015 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:2121(create_block_manager_from_column_arrays)
5658825/4754540    5.341    0.000    6.959    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\indexes\base.py:3777(get_loc)
   564597    6.585    0.000    6.585    0.000 {method 'mogrify' of 'psycopg2.extensions.cursor' objects}
 1009/557    0.179    0.000    6.002    0.011 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\default.py:941(do_execute)
3744/3724    0.018    0.000    5.081    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:6463(astype)
581284/540386    0.777    0.000    5.068    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\_config\config.py:145(_get_option)
  504/389    0.075    0.000    4.648    0.012 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\default.py:699(do_rollback)
  503/484    0.029    0.000    4.646    0.010 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\construction.py:1006(convert_object_array)
        1    0.054    0.054    4.308    4.308 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\phase_analysis.py:76(classify_phases)
593458/555680    2.584    0.000    4.295    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:6236(__finalize__)
3744/3724    0.012    0.000    3.796    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:421(astype)
2808/2697    3.608    0.001    3.771    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\construction.py:1028(convert)
594834/561416    0.620    0.000    3.663    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\common.py:1571(validate_all_hashable)
5657453/5332702    1.993    0.000    3.557    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\common.py:372(apply_if_callable)
5863/5843    0.048    0.000    3.477    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
  577/494    0.077    0.000    3.463    0.007 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:2190(_form_blocks)
3744/3724    0.027    0.000    3.190    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\blocks.py:723(astype)
1564/1558    0.033    0.000    3.036    0.002 {method 'join' of 'bytes' objects}
    66/51    0.000    0.000    3.004    0.059 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:890(content)
   100/94    0.000    0.000    2.997    0.032 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:816(generate)
     1006    0.007    0.000    2.952    0.003 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:98(check_memory_usage)
     1008    0.004    0.000    2.951    0.003 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\psutil\__init__.py:1976(virtual_memory)
     1008    0.010    0.000    2.946    0.003 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\psutil\_pswindows.py:237(virtual_memory)
     1008    2.919    0.003    2.919    0.003 {built-in method psutil_windows.virtual_mem}
587254/566640    1.278    0.000    2.797    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\blocks.py:2716(new_block)
  468/451    0.030    0.000    2.715    0.006 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:1633(as_array)
614208/585913    0.642    0.000    2.697    0.000 {built-in method builtins.all}
  503/499    0.222    0.000    2.593    0.005 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\cursor.py:1130(fetchall)
   100/94    0.000    0.000    2.580    0.027 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\response.py:1044(stream)
    86/83    0.001    0.000    2.579    0.031 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\response.py:916(read)
    37/31    0.001    0.000    2.570    0.083 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\response.py:864(_raw_read)
    37/31    0.000    0.000    2.568    0.083 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\response.py:807(_fp_read)
       55    0.000    0.000    2.522    0.046 <frozen importlib._bootstrap_external>:145(_path_stat)
      102    0.033    0.000    2.392    0.023 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\psycopg2\pool.py:76(_getconn)
      503    2.364    0.005    2.364    0.005 {method 'fetchall' of 'psycopg2.extensions.cursor' objects}
5684584/5656584    2.122    0.000    2.331    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:2004(internal_values)
595638/570844    1.744    0.000    2.289    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:278(__init__)
2828240/2709551    1.621    0.000    2.199    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
592871/570932    0.963    0.000    2.114    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\blocks.py:2645(maybe_coerce_values)
     4680    0.039    0.000    2.074    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:4271(__setitem__)
581284/563600    0.905    0.000    2.063    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\_config\config.py:127(_get_single_key)
     14/3    0.000    0.000    2.010    0.670 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:500(request)
     4680    0.020    0.000    2.009    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:4514(_set_item)
    96/72    0.000    0.000    1.991    0.028 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:1348(format)
     14/4    0.000    0.000    1.974    0.493 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:673(send)
        1    0.001    0.001    1.960    1.960 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:409(get_sp500_tickers)
     12/9    0.000    0.000    1.957    0.217 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:730(format)
    60/45    0.002    0.000    1.951    0.043 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:514(format_frame_summary)
    60/45    0.001    0.000    1.942    0.043 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:797(_extract_caret_anchors_from_line_segment)
  505/390    0.115    0.000    1.820    0.005 {method 'rollback' of 'psycopg2.extensions.connection' objects}
    48/28    0.001    0.000    1.812    0.065 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\linecache.py:47(checkcache)
583783/571282    0.383    0.000    1.803    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\common.py:568(require_length_match)
674484/670384    0.553    0.000    1.739    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:734(name)
1308506/1282276    0.684    0.000    1.723    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
1473/1230    0.074    0.000    1.717    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:2246(_stack_arrays)
14044/14042    0.021    0.000    1.706    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
1192948/1136786    0.565    0.000    1.684    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\inference.py:334(is_hashable)
       91    0.027    0.000    1.636    0.018 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\psycopg2\pool.py:61(_connect)
     14/4    0.000    0.000    1.588    0.397 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\adapters.py:613(send)
   102/93    0.028    0.000    1.558    0.017 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\psycopg2\pool.py:173(putconn)
588964/577149    0.579    0.000    1.552    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\construction.py:696(_sanitize_ndim)
  524/516    0.001    0.000    1.522    0.003 <frozen importlib._bootstrap>:1349(_find_and_load)
587081/570195    0.369    0.000    1.521    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\indexes\base.py:7688(maybe_extract_name)
     14/9    0.000    0.000    1.516    0.168 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    14/10    0.000    0.000    1.513    0.151 <frozen importlib._bootstrap>:911(_load_unlocked)
     84/1    0.002    0.000    1.513    1.513 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\utils.py:97(wrapper)
     12/1    0.000    0.000    1.512    1.512 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\multi.py:37(download)
        5    0.001    0.000    1.512    0.302 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\indexes\multi.py:2608(sortlevel)
     31/1    0.001    0.000    1.481    1.481 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1538(error)
1189669/1152228    0.452    0.000    1.478    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\common.py:1590(<genexpr>)
581284/568587    0.774    0.000    1.451    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\_config\config.py:635(_get_root)
     12/1    0.000    0.000    1.365    1.365 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\multitasking\__init__.py:102(_run_via_pool)
     12/1    0.000    0.000    1.365    1.365 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\multi.py:252(_download_one_threaded)
     12/1    0.001    0.000    1.365    1.365 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\multi.py:265(_download_one)
     12/2    0.000    0.000    1.339    0.670 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:210(format_exc)
     12/2    0.000    0.000    1.339    0.670 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:142(format_exception)
   120/90    0.000    0.000    1.327    0.015 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\ast.py:34(parse)
  468/451    0.075    0.000    1.324    0.003 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:1707(_interleave)
       13    0.004    0.000    1.315    0.101 {built-in method _io.open_code}
     12/2    0.000    0.000    1.315    0.657 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:1029(__init__)
       14    0.000    0.000    1.313    0.094 <frozen importlib._bootstrap>:1240(_find_spec)
       14    0.000    0.000    1.312    0.094 <frozen importlib._bootstrap_external>:1551(find_spec)
       14    0.000    0.000    1.312    0.094 <frozen importlib._bootstrap_external>:1522(_get_spec)
       20    0.000    0.000    1.312    0.066 <frozen importlib._bootstrap_external>:1624(find_spec)
     12/2    0.000    0.000    1.311    0.655 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\traceback.py:449(_extract_from_extended_frame_gen)
       20    0.000    0.000    1.310    0.065 <frozen importlib._bootstrap_external>:164(_path_isfile)
       21    0.000    0.000    1.310    0.062 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     13/2    0.000    0.000    1.283    0.641 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:593(get)
   587103    1.197    0.000    1.266    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:6284(__getattr__)
     12/1    0.000    0.000    1.207    1.207 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\base.py:79(history)
     12/1    0.001    0.000    1.207    1.207 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\scrapers\history.py:29(history)
     12/1    0.000    0.000    1.206    1.206 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\data.py:22(wrapped)
     12/1    0.000    0.000    1.206    1.206 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\data.py:395(cache_get)
     12/1    0.000    0.000    1.205    1.205 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\data.py:331(get)
     12/1    0.000    0.000    1.205    1.205 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\yfinance\data.py:339(_make_request)
        1    0.000    0.000    1.187    1.187 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\bs4\__init__.py:122(__init__)
        1    0.000    0.000    1.187    1.187 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\bs4\__init__.py:471(_feed)
        1    0.000    0.000    1.187    1.187 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\bs4\builder\_htmlparser.py:372(feed)
        1    0.000    0.000    1.187    1.187 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:104(feed)
        2    0.110    0.055    1.187    0.593 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:134(goahead)
    14040    0.056    0.000    1.137    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:6201(_construct_result)
3744/3724    0.018    0.000    1.100    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\astype.py:191(astype_array_safe)
