         230092493 function calls (224420069 primitive calls) in 272.603 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  515/143    0.009    0.000    9.075    0.063 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2701(_connection_rollback_impl)
  515/499    0.002    0.000    8.708    0.017 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\pool\base.py:751(checkin)
   516/19    0.050    0.000    8.517    0.448 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:194(_wrap_result)
   516/19    0.026    0.000    8.506    0.448 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:160(_convert_arrays_to_dataframe)
   515/12    0.020    0.000    8.496    0.708 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:1779(read_query)
       10    0.060    0.006    8.310    0.831 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\analysis\indicators\indicator_template.py:252(run_indicator)
  1299572    2.152    0.000    8.136    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:784(name)
18813805/13458744    5.870    0.000    7.925    0.000 {built-in method builtins.len}
  1279504    2.036    0.000    7.834    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:807(_set_axis)
  515/103    0.008    0.000    7.722    0.075 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\reflection.py:79(cache)
        1    0.155    0.155    7.569    7.569 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\phase_analysis.py:57(classify_phases)
  515/499    0.001    0.000    7.487    0.015 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\pool\base.py:451(_return_conn)
       10    0.078    0.008    7.439    0.744 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\analysis\indicators\indicator_template.py:156(gather_price_dfs)
  515/103    0.013    0.000    7.328    0.071 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\dialects\postgresql\base.py:3369(has_table)
1272473/1272142    4.038    0.000    7.120    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\numeric.py:290(full)
12726/12467    0.150    0.000    7.063    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:1782(_consolidate_inplace)
     3830    0.042    0.000    7.009    0.002 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:623(reindex_indexer)
  515/143    0.017    0.000    6.462    0.045 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1111(_rollback_impl)
3551/2028    0.007    0.000    6.292    0.003 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\arraylike.py:58(__ge__)
7125/6720    0.043    0.000    6.188    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:6463(astype)
  1299579    1.495    0.000    5.983    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\dtypes\common.py:1571(validate_all_hashable)
  516/144    0.005    0.000    5.886    0.041 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\default.py:699(do_rollback)
40720/40315    0.342    0.000    5.829    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
  3315969    3.524    0.000    5.800    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\indexing.py:2765(check_dict_or_set_indexers)
  515/103    0.010    0.000    5.625    0.055 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1282(scalar)
  3343216    4.822    0.000    5.513    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\indexes\base.py:3777(get_loc)
1373346/1353492    1.554    0.000    5.511    0.000 {built-in method builtins.all}
  1290725    3.166    0.000    5.373    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\blocks.py:2716(new_block)
7125/6720    0.024    0.000    5.247    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:421(astype)
  1362654    4.310    0.000    5.180    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:278(__init__)
