Date,AdvDeclVolumeLine
2023-05-26,-2472849460.0
2023-05-30,-1459803762.0
2023-05-31,-3408729010.0
2023-06-01,-1437605505.0
2023-06-02,-96283486.0
2023-06-05,-454039195.0
2023-06-06,167671979.0
2023-06-07,320234003.0
2023-06-08,1228508000.0
2023-06-09,1876200524.0
2023-06-12,3361720705.0
2023-06-13,5343778977.0
2023-06-14,6019057141.0
2023-06-15,6994628573.0
2023-06-16,7010758745.0
2023-06-20,6193939562.0
2023-06-21,4754396614.0
2023-06-22,4096330458.0
2023-06-23,1442982397.0
2023-06-26,889985357.0
2023-06-27,2809590094.0
2023-06-28,2356844573.0
2023-06-29,2684533314.0
2023-06-30,5068722005.0
2023-07-03,5863573533.0
2023-07-05,5424418730.0
2023-07-06,3374686270.0
2023-07-07,3690794911.0
2023-07-10,3870159834.0
2023-07-11,5476146343.0
2023-07-12,6812353785.0
2023-07-13,8294790777.0
2023-07-14,6906145821.0
2023-07-17,7616138579.0
2023-07-18,9172995051.0
2023-07-19,9334046676.0
2023-07-20,8280286401.0
2023-07-21,8012134100.0
2023-07-24,9174291877.0
2023-07-25,9582146004.0
2023-07-26,9463444831.0
2023-07-27,9244925497.0
2023-07-28,10541479021.0
2023-07-31,11156888526.0
2023-08-01,10214450766.0
2023-08-02,8152847552.0
2023-08-03,8410414356.0
2023-08-04,7933517572.0
2023-08-07,9192737464.0
2023-08-08,7887406994.0
2023-08-09,6332647554.0
2023-08-10,5906939367.0
2023-08-11,5261944505.0
2023-08-14,5963873653.0
2023-08-15,4982769416.0
2023-08-16,3159598161.0
2023-08-17,1696776955.0
2023-08-18,1585208745.0
2023-08-21,2776539929.0
2023-08-22,1734707127.0
2023-08-23,3484354103.0
2023-08-24,3553274110.0
2023-08-25,3415976325.0
2023-08-28,5173006375.0
2023-08-29,7419926298.0
2023-08-30,8521345776.0
2023-08-31,8922280893.0
2023-09-01,8781303254.0
2023-09-05,8434782132.0
2023-09-06,7183938927.0
2023-09-07,5770181324.0
2023-09-08,5821872532.0
2023-09-11,6182734537.0
2023-09-12,5457501930.0
2023-09-13,5852342008.0
2023-09-14,7567516482.0
2023-09-15,4329366950.0
2023-09-18,4485585072.0
2023-09-19,3724575969.0
2023-09-20,2287596502.0
2023-09-21,-219185057.0
2023-09-22,-423322838.0
2023-09-25,537306041.0
2023-09-26,-1644493726.0
2023-09-27,-1363139416.0
2023-09-28,129767615.0
2023-09-29,401778662.0
2023-10-02,55852571.0
2023-10-03,-1743062791.0
2023-10-04,-548577469.0
2023-10-05,-524567415.0
2023-10-06,1300804763.0
2023-10-09,1639485378.0
2023-10-10,3294400107.0
2023-10-11,3734091697.0
2023-10-12,3002411902.0
2023-10-13,1771030392.0
2023-10-16,3836340984.0
2023-10-17,3807992737.0
2023-10-18,1536126563.0
2023-10-19,-466808755.0
2023-10-20,-2923144003.0
2023-10-23,-2952651040.0
2023-10-24,-1523253263.0
2023-10-25,-3252914251.0
2023-10-26,-4615419066.0
2023-10-27,-5196143872.0
2023-10-30,-3666135095.0
2023-10-31,-2510092810.0
2023-11-01,-1018405238.0
2023-11-02,1662933778.0
2023-11-03,3885898785.0
2023-11-06,3269469877.0
2023-11-07,3686776419.0
2023-11-08,3408719396.0
2023-11-09,2597683691.0
2023-11-10,4785589711.0
2023-11-13,4923824234.0
2023-11-14,7943656316.0
2023-11-15,8566769728.0
2023-11-16,8265933430.0
2023-11-17,8881245555.0
2023-11-20,10467409325.0
2023-11-21,9410514147.0
2023-11-22,9178493456.0
2023-11-24,9298951044.0
2023-11-27,9137879862.0
2023-11-28,8884395902.0
2023-11-29,9636601838.0
2023-11-30,10344684916.0
2023-12-01,11336857737.0
2023-12-04,10542008124.0
2023-12-05,10015755748.0
2023-12-06,9439496416.0
2023-12-07,11080445807.0
2023-12-08,12571249978.0
2023-12-11,12733497684.0
2023-12-12,13136851770.0
2023-12-13,15911969564.0
2023-12-14,17916721018.0
2023-12-15,16272372334.0
2023-12-18,16689393655.0
2023-12-19,17813383778.0
2023-12-20,15117273481.0
2023-12-21,17095479415.0
2023-12-22,17252070018.0
2023-12-26,18409795879.0
2023-12-27,18830664876.0
2023-12-28,19480600935.0
2023-12-29,18486296580.0
2024-01-02,18070312084.0
2024-01-03,16384326387.0
2024-01-04,16314926675.0
2024-01-05,17408714043.0
2024-01-08,19380065149.0
2024-01-09,19381104606.0
2024-01-10,19793791123.0
2024-01-11,19608255579.0
2024-01-12,18932484151.0
2024-01-16,18417515876.0
2024-01-17,16429800379.0
2024-01-18,17304667761.0
2024-01-19,19930099626.0
2024-01-22,20852703335.0
2024-01-23,22067047074.0
2024-01-24,22218038369.0
2024-01-25,24072581810.0
2024-01-26,23938218019.0
2024-01-29,25585232227.0
2024-01-30,26042958801.0
2024-01-31,23739914426.0
2024-02-01,25713941415.0
2024-02-02,25983154099.0
2024-02-05,25094791404.0
2024-02-06,25799262815.0
2024-02-07,27327209390.0
2024-02-08,27165176472.0
2024-02-09,27915825080.0
2024-02-12,29449478424.0
2024-02-13,26689628947.0
2024-02-14,28610497019.0
2024-02-15,29621995626.0
2024-02-16,27857746176.0
2024-02-20,26284461152.0
2024-02-21,25941928531.0
2024-02-22,27940953937.0
2024-02-23,28968047381.0
2024-02-26,28785059616.0
2024-02-27,29187221517.0
2024-02-28,28615965122.0
2024-02-29,30327020605.0
2024-03-01,31523796737.0
2024-03-04,32443489462.0
2024-03-05,32503548814.0
2024-03-06,34259388844.0
2024-03-07,35992482426.0
2024-03-08,34512978717.0
2024-03-11,34332913651.0
2024-03-12,35120752179.0
2024-03-13,34610637032.0
2024-03-14,32643895969.0
2024-03-15,31017854548.0
2024-03-18,32458233794.0
2024-03-19,33660912021.0
2024-03-20,35629920637.0
2024-03-21,37020508256.0
2024-03-22,36954267595.0
2024-03-25,37479841374.0
2024-03-26,36710117861.0
2024-03-27,37891303009.0
2024-03-28,39268449396.0
2024-04-01,39379685340.0
2024-04-02,37563566742.0
2024-04-03,37623861965.0
2024-04-04,35449739391.0
2024-04-05,36491614807.0
2024-04-08,36229894354.0
2024-04-09,36500665920.0
2024-04-10,35267023547.0
2024-04-11,35979242910.0
2024-04-12,33581415364.0
2024-04-15,31803335904.0
2024-04-16,31114986534.0
2024-04-17,30196739347.0
2024-04-18,30770248176.0
2024-04-19,30046157316.0
2024-04-22,31923500042.0
2024-04-23,33747407045.0
2024-04-24,33699943607.0
2024-04-25,33883606952.0
2024-04-26,34545915071.0
2024-04-29,35944283356.0
2024-04-30,33204458498.0
2024-05-01,32194641932.0
2024-05-02,33916502492.0
2024-05-03,35635415634.0
2024-05-06,37266692574.0
2024-05-07,36677915233.0
2024-05-08,36527700074.0
2024-05-09,37154139231.0
2024-05-10,37369863787.0
2024-05-13,38047563672.0
2024-05-14,39195921537.0
2024-05-15,40452029316.0
2024-05-16,40411756621.0
2024-05-17,40374491633.0
2024-05-20,40572526051.0
2024-05-21,40901767055.0
2024-05-22,39827991036.0
2024-05-23,38791177960.0
2024-05-24,40143370123.0
2024-05-28,40377379702.0
2024-05-29,39330285052.0
2024-05-30,39574753599.0
2024-05-31,41286772870.0
2024-06-03,41185731254.0
2024-06-04,41520459553.0
2024-06-05,43023954485.0
2024-06-06,42297272097.0
2024-06-07,41618275251.0
2024-06-10,42092722200.0
2024-06-11,41433608946.0
2024-06-12,42217041583.0
2024-06-13,42219522331.0
2024-06-14,41560206950.0
2024-06-17,42481553256.0
2024-06-18,43112423979.0
2024-06-20,42719044870.0
2024-06-21,42111434231.0
2024-06-24,42299141431.0
2024-06-25,42307871758.0
2024-06-26,42338501863.0
2024-06-27,42524186914.0
2024-06-28,42418843886.0
2024-07-01,42266801361.0
2024-07-02,42833993586.0
2024-07-03,43341647353.0
2024-07-05,43272814766.0
2024-07-08,44065283606.0
2024-07-09,44289088289.0
2024-07-10,45960873468.0
2024-07-11,45878002718.0
2024-07-12,47153454289.0
2024-07-15,47308426936.0
2024-07-16,48568526208.0
2024-07-17,48086797384.0
2024-07-18,47375410435.0
2024-07-19,46187829404.0
2024-07-22,46955013809.0
2024-07-23,46215532586.0
2024-07-24,44511717851.0
2024-07-25,43511910458.0
2024-07-26,45131573478.0
2024-07-29,44908629886.0
2024-07-30,44668668028.0
2024-07-31,45829141204.0
2024-08-01,43810768906.0
2024-08-02,41028347984.0
2024-08-05,37261028515.0
2024-08-06,38979491677.0
2024-08-07,37554543404.0
2024-08-08,39903804933.0
2024-08-09,40049706854.0
2024-08-12,39891391588.0
2024-08-13,41747536879.0
2024-08-14,42414738965.0
2024-08-15,44637833029.0
2024-08-16,45744416899.0
2024-08-19,47324106899.0
2024-08-20,46547260266.0
2024-08-21,47732044219.0
2024-08-22,46560991068.0
2024-08-23,48506503577.0
2024-08-26,48162813578.0
2024-08-27,48058545045.0
2024-08-28,46519595050.0
2024-08-29,46708978003.0
2024-08-30,48778494443.0
2024-09-03,47045542222.0
2024-09-04,46306214190.0
2024-09-05,45922394975.0
2024-09-06,43754569593.0
2024-09-09,45751621673.0
2024-09-10,45927847275.0
2024-09-11,46922434065.0
2024-09-12,48260049346.0
2024-09-13,49398580116.0
2024-09-16,50140497447.0
2024-09-17,50564864374.0
2024-09-18,49841662094.0
2024-09-19,51345850190.0
2024-09-20,50687974063.0
2024-09-23,51828440237.0
2024-09-24,52498693212.0
2024-09-25,52179984000.0
2024-09-26,53197090727.0
2024-09-27,53540071942.0
2024-09-30,53991302197.0
2024-10-01,52931064255.0
2024-10-02,52867005044.0
2024-10-03,52411953267.0
2024-10-04,53843766147.0
2024-10-07,53305174522.0
2024-10-08,54068337229.0
2024-10-09,54789564057.0
2024-10-10,54512598283.0
2024-10-11,55430163192.0
2024-10-14,56262769263.0
2024-10-15,56023872066.0
2024-10-16,57094344276.0
2024-10-17,57129252226.0
2024-10-18,57596105189.0
2024-10-21,56925873462.0
2024-10-22,56552198420.0
2024-10-23,55476472263.0
2024-10-24,55843972483.0
2024-10-25,55929138909.0
2024-10-28,56603501204.0
2024-10-29,55975963269.0
2024-10-30,55593271570.0
2024-10-31,53971971086.0
2024-11-01,53902682793.0
2024-11-04,53555473592.0
2024-11-05,55476898161.0
2024-11-06,57378820922.0
2024-11-07,58162806633.0
2024-11-08,58085184350.0
2024-11-11,58455779514.0
2024-11-12,57382867042.0
2024-11-13,57618611270.0
2024-11-14,56872888710.0
2024-11-15,55964459328.0
2024-11-18,56714526696.0
2024-11-19,56994455873.0
2024-11-20,56591175144.0
2024-11-21,58344740784.0
2024-11-22,59357253649.0
2024-11-25,60924778171.0
2024-11-26,60782109588.0
2024-11-27,60576176224.0
2024-11-29,61037247433.0
2024-12-02,61064297757.0
2024-12-03,60431657556.0
2024-12-04,60395345117.0
2024-12-05,59881264006.0
2024-12-06,60009057001.0
2024-12-09,59537438061.0
2024-12-10,58647339595.0
2024-12-11,58669516107.0
2024-12-12,58154846194.0
2024-12-13,57466109274.0
2024-12-16,56701066439.0
2024-12-17,55431898899.0
2024-12-18,52287743645.0
2024-12-19,51763055862.0
2024-12-20,56476318923.0
2024-12-23,57406679624.0
2024-12-24,58344714770.0
2024-12-26,58274163849.0
2024-12-27,56886982557.0
2024-12-30,55527776829.0
